FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-09-25 04:23:21,33.93911,67.709953,39170,1451,32619,5100,Afghanistan,100.620779087401,3.70436558590758
,,,Albania,2020-09-25 04:23:21,41.1533,20.1683,12921,370,7239,5312,Albania,448.988810897213,2.86355545236437
,,,Algeria,2020-09-25 04:23:21,28.0339,1.6596,50579,1703,35544,13332,Algeria,115.34275250876,3.36701002392297
,,,Andorra,2020-09-25 04:23:21,42.5063,1.5218,1753,53,1203,497,Andorra,2268.8151168058,3.02338847689675
,,,Angola,2020-09-25 04:23:21,-11.2027,17.8739,4475,162,1503,2810,Angola,13.6157838182297,3.62011173184358
,,,Antigua and Barbuda,2020-09-25 04:23:21,17.0608,-61.7964,97,3,92,2,Antigua and Barbuda,99.0523650028592,3.09278350515464
,,,Argentina,2020-09-25 04:23:21,-38.4161,-63.6167,678266,14766,536589,126911,Argentina,1500.72870746309,2.17702199432081
,,,Armenia,2020-09-25 04:23:21,40.0691,45.0382,48251,945,43266,4040,Armenia,1628.32229921768,1.95850863194545
,,Australian Capital Territory,Australia,2020-09-25 04:23:21,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.3957019387993,2.65486725663717
,,New South Wales,Australia,2020-09-25 04:23:21,-33.8688,151.2093,4217,53,3116,1048,"New South Wales, Australia",51.9462921901946,1.25681764287408
,,Northern Territory,Australia,2020-09-25 04:23:21,-12.4634,130.8456,33,0,31,2,"Northern Territory, Australia",13.4364820846906,0
,,Queensland,Australia,2020-09-25 04:23:21,-27.4698,153.0251,1153,6,1141,6,"Queensland, Australia",22.5393412178673,0.520381613183001
,,South Australia,Australia,2020-09-25 04:23:21,-34.9285,138.6007,468,4,462,2,"South Australia, Australia",26.6438941076003,0.854700854700855
,,Tasmania,Australia,2020-09-25 04:23:21,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.9505135387488,5.65217391304348
,,Victoria,Australia,2020-09-25 04:23:21,-37.8136,144.9631,20118,781,18794,543,"Victoria, Australia",303.443490852049,3.88209563574908
,,Western Australia,Australia,2020-09-25 04:23:21,-31.9505,115.8605,668,9,650,9,"Western Australia, Australia",25.3934463620467,1.34730538922156
,,,Austria,2020-09-25 04:23:21,47.5162,14.5501,40816,783,31661,8372,Austria,453.188843489074,1.91836534692278
